Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,TimeControl,EndTime,Termination,first_move,number_of_moves,white_time_taken,black_time_taken,GameResult
Live Chess,Chess.com,2023-01-28,-,22roee22,chandurohitheee,0-1,1128,1268,600,16:12:13 PST,chandurohitheee won by resignation,e4-e5,33,00:05:26,00:03:04,won
Live Chess,Chess.com,2023-01-28,-,PrinterGoBrrrr,chandurohitheee,0-1,1333,1262,600,15:58:41 PST,chandurohitheee won by resignation,d4-Nc6,19,00:02:13,00:01:44,won
Live Chess,Chess.com,2023-01-28,-,chandurohitheee,sergo190281,0-1,1252,1275,600,15:39:58 PST,sergo190281 won by resignation,e4-e5,20,00:03:32,00:03:34,loss
Live Chess,Chess.com,2023-01-28,-,chandurohitheee,khalid7780,1-0,1260,1207,600,15:31:35 PST,chandurohitheee won on time,e4-e5,39,00:03:15,00:09:58,won
Live Chess,Chess.com,2023-01-28,-,chandurohitheee,shapolo,0-1,1253,1189,600,15:17:43 PST,shapolo won by resignation,e4-e6,31,00:02:08,00:02:07,loss
Live Chess,Chess.com,2023-01-28,-,chandurohitheee,blackshadow00,0-1,1263,1199,600,15:11:34 PST,blackshadow00 won by resignation,e4-e5,26,00:02:13,00:01:23,loss
Live Chess,Chess.com,2023-01-28,-,chandurohitheee,Checycles,1-0,1273,1237,600,15:07:27 PST,chandurohitheee won by checkmate,e4-Nc6,8,00:00:57,00:00:26,won
Live Chess,Chess.com,2023-01-28,-,basheir703,chandurohitheee,1-0,1250,1265,600,15:05:31 PST,basheir703 won by resignation,e4-e5,37,00:02:13,00:01:34,loss
Live Chess,Chess.com,2023-01-28,-,chandurohitheee,amiryp99,1-0,1274,1285,600,13:40:21 PST,chandurohitheee won by checkmate,e4-e5,26,00:04:50,00:04:45,won
Live Chess,Chess.com,2023-01-28,-,sagar_kr_3409,chandurohitheee,0-1,1144,1265,600,12:40:39 PST,chandurohitheee won by checkmate,e4-e5,28,00:03:00,00:02:58,won
Live Chess,Chess.com,2023-01-27,-,chandurohitheee,arash22Oo,1-0,1258,1267,600,8:21:52 PST,chandurohitheee won by resignation,e4-e5,6,00:00:22,00:00:38,won
Live Chess,Chess.com,2023-01-27,-,mtixn,chandurohitheee,0-1,1168,1249,600,4:36:59 PST,chandurohitheee won by checkmate,d4-d5,34,00:05:01,00:04:00,won
Live Chess,Chess.com,2023-01-27,-,Chomo68,chandurohitheee,0-1,1220,1243,600,4:19:03 PST,chandurohitheee won by resignation,e4-e5,37,00:05:57,00:08:31,won
Live Chess,Chess.com,2023-01-27,-,SkillxIssues,chandurohitheee,0-1,1205,1235,600,4:03:46 PST,chandurohitheee won by resignation,d4-d5,4,00:00:18,00:00:34,won
Live Chess,Chess.com,2023-01-27,-,chandurohitheee,MomSkuy,0-1,1227,1188,600,16:07:47 PST,MomSkuy won by checkmate,e4-e5,31,00:03:55,00:02:54,loss
Live Chess,Chess.com,2023-01-27,-,megamer4u,chandurohitheee,1-0,1294,1236,600,15:27:55 PST,megamer4u won by resignation,d4-d5,19,00:05:22,00:02:36,loss
Live Chess,Chess.com,2023-01-27,-,chandurohitheee,LosMuchos,1-0,1243,1305,600,15:13:38 PST,chandurohitheee won by resignation,e4-e5,31,00:07:33,00:05:18,won
Live Chess,Chess.com,2023-01-27,-,chandurohitheee,DanielSanvicente3,1-0,1233,1249,600,15:00:01 PST,chandurohitheee won by resignation,e4-e5,45,00:08:02,00:05:21,won
Live Chess,Chess.com,2023-01-27,-,chandurohitheee,FlameMonster,1-0,1224,1138,600,14:45:31 PST,chandurohitheee won - game abandoned,e4-e5,12,00:00:58,00:00:42,won
Live Chess,Chess.com,2023-01-27,-,chandurohitheee,lelushpetush,1-0,1217,1185,600,12:21:10 PST,chandurohitheee won by checkmate,e4-e5,38,00:06:07,00:07:52,won
Live Chess,Chess.com,2023-01-27,-,term9,chandurohitheee,0-1,1221,1209,600,12:06:21 PST,chandurohitheee won by resignation,d4-Nc6,1,00:00,00:00:01,won
Live Chess,Chess.com,2023-01-27,-,chandurohitheee,eveningsquire,0-1,1200,1264,600,12:06:11 PST,eveningsquire won by checkmate,e4-d5,45,00:07:52,00:06:26,loss
Live Chess,Chess.com,2023-01-27,-,ssr_07,chandurohitheee,0-1,1257,1207,600,11:50:35 PST,chandurohitheee won by checkmate,e4-e5,21,00:02:22,00:02:02,won
Live Chess,Chess.com,2023-01-26,-,Hystob04,chandurohitheee,1-0,1167,1197,600,23:00:55 PST,Hystob04 won on time,e4-e5,12,00:00:38,00:05:27,loss
Live Chess,Chess.com,2023-01-26,-,chandurohitheee,Sengarz,1-0,1206,1171,600,22:49:47 PST,chandurohitheee won - game abandoned,e4-e5,10,00:00:34,00:01:35,won
Live Chess,Chess.com,2023-01-26,-,Taipan1980,chandurohitheee,1-0,1188,1198,600,18:11:10 PST,Taipan1980 won by checkmate,e4-e5,47,00:04:20,00:03:41,loss
Live Chess,Chess.com,2023-01-26,-,yennguyen905,chandurohitheee,0-1,1214,1207,600,18:02:05 PST,chandurohitheee won by checkmate,e4-e5,25,00:02:07,00:03:39,won
Live Chess,Chess.com,2023-01-26,-,chandurohitheee,loveskdncdih,1-0,1198,1150,600,17:33:51 PST,chandurohitheee won by resignation,e4-c5,17,00:04:19,00:01:22,won
Live Chess,Chess.com,2023-01-26,-,chandurohitheee,chriskoegl,0-1,1191,1180,600,17:17:06 PST,chriskoegl won by resignation,e4-e5,32,00:03:15,00:03:51,loss
Live Chess,Chess.com,2023-01-26,-,chandurohitheee,ppfish78,1-0,1200,1132,600,17:04:36 PST,chandurohitheee won by resignation,e4-e5,39,00:04:26,00:06:55,won
Live Chess,Chess.com,2023-01-26,-,MARXC972,chandurohitheee,1-0,1271,1193,600,16:52:34 PST,MARXC972 won by resignation,e4-e5,54,00:05:22,00:04:58,loss
Live Chess,Chess.com,2023-01-26,-,MagalhaesChess77,chandurohitheee,1-0,1312,1200,600,16:41:03 PST,MagalhaesChess77 won by resignation,e4-e5,48,00:02:29,00:04:36,loss
Live Chess,Chess.com,2023-01-26,-,chandurohitheee,Dj_is_bad_at_chess,1-0,1206,1154,600,16:32:56 PST,chandurohitheee won by resignation,e4-c6,2,00:00:07,00:00:40,won
Live Chess,Chess.com,2023-01-25,-,chandurohitheee,feliz2a,1-0,1198,1167,600,17:45:49 PST,chandurohitheee won by resignation,e4-Nc6,43,00:07:29,00:04:01,won
Live Chess,Chess.com,2023-01-25,-,Hecc123,chandurohitheee,1-0,1178,1190,600,17:18:28 PST,Hecc123 won by checkmate,Nf3-e5,27,00:03:35,00:03:56,loss
Live Chess,Chess.com,2023-01-25,-,Lamelaa,chandurohitheee,0-1,1095,1199,600,17:10:25 PST,chandurohitheee won by checkmate,e4-e5,8,00:00:31,00:00:47,won
Live Chess,Chess.com,2023-01-25,-,rooksoda,chandurohitheee,0-1,1151,1193,600,17:08:48 PST,chandurohitheee won by checkmate,e4-e5,21,00:03:47,00:04:25,won
Live Chess,Chess.com,2023-01-25,-,chandurohitheee,Aderalis,0-1,1186,1238,600,16:01:26 PST,Aderalis won by resignation,e4-e5,15,00:02:10,00:01:23,loss
Live Chess,Chess.com,2023-01-25,-,Rosario1962,chandurohitheee,1-0,1257,1194,600,15:57:32 PST,Rosario1962 won by checkmate,e4-e5,55,00:04:03,00:03:24,loss
Live Chess,Chess.com,2023-01-25,-,chandurohitheee,bielsouto1,1-0,1201,1173,600,13:52:22 PST,chandurohitheee won by resignation,e4-c5,13,00:01:00,00:00:53,won
Live Chess,Chess.com,2023-01-25,-,Caloooy,chandurohitheee,0-1,1262,1193,600,13:49:46 PST,chandurohitheee won by resignation,d4-Nc6,53,00:05:03,00:05:23,won
Live Chess,Chess.com,2023-01-25,-,chandurohitheee,egilmittun10,1-0,1183,1155,600,13:37:50 PST,chandurohitheee won by resignation,e4-d5,23,00:02:33,00:05:55,won
Live Chess,Chess.com,2023-01-25,-,Eduardo_Duart10,chandurohitheee,1-0,1151,1175,600,13:28:52 PST,Eduardo_Duart10 won by resignation,e4-e5,23,00:02:13,00:03:15,loss
Live Chess,Chess.com,2023-01-25,-,chandurohitheee,markusgdjup,1-0,1184,1240,600,12:40:33 PST,chandurohitheee won by checkmate,e4-e5,26,00:03:37,00:07:47,won
Live Chess,Chess.com,2023-01-25,-,chandurohitheee,Rubeer,1-0,1174,1228,600,12:28:17 PST,chandurohitheee won by resignation,e4-e5,11,00:01:36,00:00:31,won
Live Chess,Chess.com,2023-01-24,-,vanhsu,chandurohitheee,1-0,1119,1155,600,4:42:08 PST,vanhsu won by checkmate,e4-e5,13,00:01:04,00:01:23,loss
Live Chess,Chess.com,2023-01-24,-,waaa72,chandurohitheee,1-0,1180,1164,600,19:19:42 PST,waaa72 won by resignation,e4-e5,21,00:01:41,00:01:48,loss
Live Chess,Chess.com,2023-01-24,-,ahmedatallahali7,chandurohitheee,1-0,1167,1172,600,11:14:24 PST,ahmedatallahali7 won by checkmate,e4-e5,21,00:02:11,00:02:12,loss
Live Chess,Chess.com,2023-01-24,-,chandurohitheee,Vishalbhargav1234,1-0,1181,1168,600,11:09:33 PST,chandurohitheee won by resignation,e4-e5,21,00:05:23,00:01:46,won
Live Chess,Chess.com,2023-01-24,-,domkleber,chandurohitheee,1-0,1254,1173,600,10:59:18 PST,domkleber won by resignation,e4-e5,7,00:00:15,00:00:19,loss
